analysis_id,mf032r9x445b52g
pvalue,0.5459288
parameter_name,Whole arena resting time
gene_symbol,Secisbp2l
mouse_life_stage,Late adult
mouse_strain,C57BL
parameter_id,ESLIM_007_001_003
gene_accession_id,MGI:1917604
