analysis_id,vemk6pe09i29094
mouse_life_stage,Early adult
parameter_name,Monocyte percentage
gene_symbol,Zfp683
mouse_strain,C57BL
pvalue,0.6867722
gene_accession_id,MGI:3650254
parameter_id,MGP_PBI_016_001
