parameter_name,Magnesium
mouse_life_stage,E12.5
gene_accession_id,MGI:88174
gene_symbol,Bmi1
mouse_strain,C57BL
parameter_id,IMPC_CBC_054_001
analysis_id,58vt97964x9xc2s
pvalue,0.4011045
