analysis_id,xs2c493la9wi3ds
mouse_strain,C57BL
parameter_id,MGP_IMM_130_001
mouse_life_stage,Early adult
pvalue,0.7564508
gene_accession_id,MGI:1920638
parameter_name,CD11b-low cDC - % of CD45+
gene_symbol,Bpifa3
