analysis_id,4e31g69kuppyl0d
gene_accession_id,MGI:1913483
mouse_life_stage,Early adult
pvalue,0.8263649
parameter_id,MGP_IMM_129_001
parameter_name,CD11b-high cDC - % of CD45+
gene_symbol,Dmap1
mouse_strain,C57BL
