mouse_strain,129SV
gene_symbol,Ddx27
mouse_life_stage,Early adult
pvalue,0.6939511
parameter_name,NKT cells (panel A) - % of live leukocytes (Panel A)
parameter_id,IMPC_IMM_004_002
analysis_id,r044069511r5951
gene_accession_id,MGI:2385884
