analysis_id,5b187b9asi2q0y2
parameter_name,Total protein
pvalue,0.06372389
parameter_id,IMPC_CBC_006_001
gene_symbol,Fgb
gene_accession_id,MGI:99501
mouse_life_stage,E15.5
mouse_strain,C57BL
