gene_symbol,Dnajc5b
pvalue,0.6662969
parameter_id,MGP_MLN_093_001
parameter_name,KLRG1+ NK cells - % of CD45+
mouse_life_stage,Early adult
analysis_id,6475g7ev5pes383
gene_accession_id,MGI:1913576
mouse_strain,C57BL
