parameter_name,Monocyte percentage
mouse_strain,C57BL
gene_symbol,Hpca
parameter_id,MGP_PBI_016_001
pvalue,0.7629939
gene_accession_id,MGI:1336200
analysis_id,97006nv26mlb2wp
mouse_life_stage,Middle aged adult
