gene_symbol,Morn5
analysis_id,2p6t40m1e337z7w
parameter_id,IMPC_XRY_007_001
pvalue,0.08017672
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_name,Clavicle
mouse_life_stage,Early adult
