gene_symbol,Ubxn4
parameter_id,MGP_PBI_038_001
mouse_strain,C54BL
pvalue,0.3938589
mouse_life_stage,Late adult
analysis_id,snl6m3q727ss5b0
gene_accession_id,MGI:1915062
parameter_name,Ly6Clow monocyte number
