analysis_id,nzb772180qj3eb3
gene_accession_id,MGI:1915848
mouse_strain,C57BL
pvalue,0.4423535
parameter_id,JAX_OFD_012_001
parameter_name,Periphery permanence time
mouse_life_stage,Early adult
gene_symbol,Dnajc8
