gene_symbol,Atf3
mouse_life_stage,Early adult
parameter_name,Coat - color - abdomen
parameter_id,JAXLA_CSD_007_001
pvalue,0.2978642
mouse_strain,C57BL
analysis_id,5f580jmyej5o4h1
gene_accession_id,MGI:109384
