analysis_id,z2c8kh1u5817p4k
mouse_strain,C57BL
pvalue,0.4695384
gene_symbol,Orc2
mouse_life_stage,E9.5
gene_accession_id,MGI:1328306
parameter_name,Startle Response
parameter_id,M-G-P_008_001_013
