parameter_name,NK Subsets (Q2)
pvalue,0.5272421
analysis_id,5r9wiqq8l2a3ck8
mouse_life_stage,Early adult
gene_symbol,Fpgs
parameter_id,IMPC_IMM_055_001
mouse_strain,C57BL
gene_accession_id,MGI:95576
