analysis_id,zz7e9s0080zkd64
mouse_strain,C57BL
gene_symbol,Dhdds
parameter_id,IMPC_CBC_015_001
pvalue,0.9790359
mouse_life_stage,Early adult
parameter_name,Total cholesterol
gene_accession_id,MGI:1914672
