parameter_name,Center distance travelled
analysis_id,b8yqxkc29e75474
parameter_id,JAX_OFD_014_001
mouse_strain,C57BL
gene_symbol,Kcng1
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
pvalue,0.2050505
