analysis_id,o5xn2l2knfqbu6j
mouse_life_stage,E9.5
pvalue,0.1250912
parameter_name,Plasmacytoid DC - % of DC
gene_symbol,Hspa5
gene_accession_id,MGI:95835
mouse_strain,C57BL
parameter_id,MGP_MLN_058_001
