gene_symbol,Snap23
analysis_id,6f5bpg7yiwqm47j
mouse_life_stage,Late adult
parameter_id,JAX_SLW_013_001
gene_accession_id,MGI:109356
mouse_strain,C57BL
parameter_name,Breath rate during sleep mean
pvalue,0.8473512
