gene_symbol,Uckl1
mouse_life_stage,Early adult
analysis_id,2ts718734oa9j29
gene_accession_id,MGI:1915806
mouse_strain,C57BL
pvalue,0.6124319
parameter_id,IMPC_XRY_025_001
parameter_name,Tibia
