gene_symbol,Alkbh3
gene_accession_id,MGI:1916363
mouse_life_stage,Early adult
pvalue,0.4300311
parameter_id,ESLIM_007_001_007
analysis_id,m927p0w97yi5kz4
parameter_name,Periphery resting time
mouse_strain,C57BL
