analysis_id,4sf102y9r203yy8
gene_symbol,Frmpd1
parameter_id,ESLIM_001_001_117
pvalue,0.4840125
mouse_life_stage,Late adult
parameter_name,eye size
mouse_strain,C57BL
gene_accession_id,MGI:2446274
