analysis_id,4ixjul1o327ca6d
gene_symbol,Slc2a8
parameter_name,T cells - % of CD45+
pvalue,0.4901538
parameter_id,MGP_BMI_019_001
mouse_strain,C57BL
gene_accession_id,MGI:1860103
mouse_life_stage,Early adult
