parameter_id,IMPC_DXA_010_001
mouse_life_stage,E9.5
pvalue,0.8184284
analysis_id,w5g89tm159r1o0p
gene_accession_id,MGI:1913483
parameter_name,Bone Area
mouse_strain,C57BL
gene_symbol,Dmap1
