parameter_name,Eosinophil percentage
analysis_id,2uzfp7ph58ws67d
mouse_strain,129SV
pvalue,0.4627256
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_life_stage,Early adult
parameter_id,MGP_PBI_020_001
