analysis_id,ty6y8v058mjmo3a
gene_accession_id,MGI:1914561
pvalue,0.5057048
parameter_id,IMPC_CSD_033_001
mouse_strain,C57BL
gene_symbol,Nanp
mouse_life_stage,Early adult
parameter_name,Gait
