parameter_id,MGP_PBI_009_001
gene_accession_id,MGI:1914437
gene_symbol,Zmynd19
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.1769297
analysis_id,4d75550402j9413
parameter_name,CD4+ CD44+ CD62L- alpha beta effector T cell percentage
