gene_symbol,Trim46
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2337695
parameter_id,IMPC_IMM_005_002
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
gene_accession_id,MGI:2673000
analysis_id,wi338sacn87vb9q
