parameter_name,Fat mass
mouse_life_stage,Early adult
gene_accession_id,MGI:104640
analysis_id,uws869uqbxie4a3
parameter_id,IMPC_DXA_002_001
gene_symbol,Rab17
pvalue,0.7358334
mouse_strain,C57BL
