analysis_id,50l848v2z5g3383
gene_symbol,Slc30a4
gene_accession_id,MGI:1345282
parameter_name,Spleen weight
pvalue,0.3135183
mouse_strain,C57BL
parameter_id,UCD_OWT_003_001
mouse_life_stage,Early adult
