analysis_id,wawe1ap81o13ods
pvalue,0.4993705
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
gene_symbol,Lpgat1
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_071_001
gene_accession_id,MGI:2446186
