analysis_id,q5h8eg7x61kqdt5
gene_symbol,Ubxn11
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
gene_accession_id,MGI:1914836
mouse_life_stage,Early adult
pvalue,0.4443484
mouse_strain,C57BL
