analysis_id,0aqijm635m35nih
gene_accession_id,MGI:2685266
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
parameter_id,MGP_IMM_006_001
mouse_strain,C57BL
gene_symbol,Pglyrp3
mouse_life_stage,Early adult
pvalue,0.5882734
