parameter_id,IMPC_GRS_011_001
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_strain,C57BL
pvalue,0.998673
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
gene_symbol,Clvs1
analysis_id,hf6g41tj7cys648
