parameter_name,Body length
gene_symbol,BCS1L
gene_accession_id,MGI:1914071
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.7557379
analysis_id,72a9r223dsyz097
parameter_id,IMPC_DXA_006_001
