gene_symbol,Bach2
mouse_strain,C57BL
parameter_name,Periphery average speed
analysis_id,38hmv708653s9dl
parameter_id,JAX_OFD_013_001
mouse_life_stage,Early adult
pvalue,0.2123067
gene_accession_id,MGI:894679
