analysis_id,2p4622375905jyj
parameter_name,Monocytes
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_051_001
gene_accession_id,MGI:1919935
pvalue,0.371345
gene_symbol,Dnajc6
mouse_strain,C57BL
