parameter_name,Glucose
mouse_strain,C57BL
parameter_id,IMPC_CBC_018_001
analysis_id,e7qsnxsce5s28qi
pvalue,0.8249438
gene_symbol,Cdin1
mouse_life_stage,E9.5
gene_accession_id,MGI:3026886
