parameter_name,Lens Opacity
mouse_strain,C57BL
gene_symbol,Ubxn11
gene_accession_id,MGI:1914836
analysis_id,ex4788p37w96o44
pvalue,0.8992834
mouse_life_stage,Early adult
parameter_id,UCDLA_EYE_017_001
