gene_symbol,Kcng1
pvalue,0.1615505
mouse_strain,C57BL
gene_accession_id,MGI:3616086
mouse_life_stage,Early adult
parameter_name,KLRG1+ NK cells - % of NK cells
parameter_id,MGP_IMM_036_001
analysis_id,9ek457oq000ne43
