gene_symbol,Tox
gene_accession_id,MGI:2181659
parameter_name,Center average speed
pvalue,0.511766
mouse_strain,C57BL
analysis_id,3zpna8h087286in
mouse_life_stage,Early adult
parameter_id,HRWLLA_OFD_017_001
