gene_symbol,Pum1
gene_accession_id,MGI:1931749
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
analysis_id,a450084nn0s9633
pvalue,0.3516468
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
