parameter_id,IMPC_XRY_007_001
analysis_id,uh2on4w64h22gx3
gene_accession_id,MGI:2444554
mouse_life_stage,E12.5
mouse_strain,C57BL
parameter_name,Clavicle
gene_symbol,Mapkap1
pvalue,0.1364282
