parameter_name,Embryo turning
mouse_strain,129SV
gene_symbol,Cntfr
pvalue,0.1014675
mouse_life_stage,Early adult
parameter_id,IMPC_GEL_011_001
analysis_id,5gpi89u1158vut8
gene_accession_id,MGI:99605
