parameter_name,cDCs CD11b Type
parameter_id,IMPC_IMM_073_001
analysis_id,3sxlai9p07440eq
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1913576
gene_symbol,Dnajc5b
pvalue,0.3518879
