gene_symbol,Cds2
mouse_life_stage,Early adult
pvalue,0.7161531
gene_accession_id,MGI:1332236
mouse_strain,C57BL
analysis_id,r5095a80ot76ed6
parameter_name,Neutrophil percentage
parameter_id,MGP_PBI_019_001
