parameter_id,GMC_906_001_005
parameter_name,Potassium
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,3vn691vq12u6wa2
gene_accession_id,MGI:2442483
gene_symbol,Usp37
pvalue,0.1017284
