gene_symbol,Cldn19
gene_accession_id,MGI:3033992
mouse_life_stage,Early adult
pvalue,0.8446673
parameter_name,Mean-corpuscular-haemoglobin
parameter_id,M-G-P_016_001_006
mouse_strain,C57BL
analysis_id,dy8jla73zj03wl4
