analysis_id,4my7o3s9r4dv3im
parameter_name,Number of rears - total
pvalue,0.09767445
gene_symbol,Bach2
gene_accession_id,MGI:894679
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,JAX_OFD_021_001
