gene_symbol,Amigo1
gene_accession_id,MGI:2653612
parameter_id,IMPC_ECH_001_001
pvalue,0.8058102
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,9364889ck1t5su8
parameter_name,End-Systolic Diameter
