analysis_id,z0l3r8ojno53ak2
gene_accession_id,MGI:1922855
mouse_life_stage,Early adult
pvalue,0.9687918
mouse_strain,C57BL
parameter_id,IMPC_ECH_003_001
parameter_name,Stroke Volume
gene_symbol,Kdm5b
