parameter_id,JAXLA_EYE_092_001
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.5124592
parameter_name,Retina (combined)
gene_accession_id,MGI:99605
gene_symbol,Cntfr
analysis_id,9a6lbq541540sn2
