analysis_id,01g4o396t97k260
gene_accession_id,MGI:2444554
pvalue,0.9230276
mouse_life_stage,Early adult
parameter_id,JAXLA_GRS_011_001
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Mapkap1
