gene_symbol,Ints7
analysis_id,po76b3lk100zzg8
mouse_strain,C57BL
pvalue,0.2928302
mouse_life_stage,Early adult
parameter_name,Body Weight
gene_accession_id,MGI:1924315
parameter_id,M-G-P_020_001_001
