gene_symbol,Lcn2
parameter_id,MGP_IMM_100_001
analysis_id,q1168uwx22li37v
pvalue,0.8336023
parameter_name,Resting NK cells - % of CD45+
mouse_life_stage,Early adult
gene_accession_id,MGI:96757
mouse_strain,C57BL
