parameter_id,HRWLLA_CBC_014_001
mouse_strain,C57BL
gene_symbol,Bmp7
mouse_life_stage,Early adult
parameter_name,Alkaline phosphatase
analysis_id,6s8s57381c8l352
pvalue,0.5008289
gene_accession_id,MGI:103302
