gene_symbol,Rap2b
gene_accession_id,MGI:1921262
mouse_life_stage,Early adult
pvalue,0.4495546
parameter_id,IMPC_XRY_002_001
parameter_name,Zygomatic bone
mouse_strain,C57BL
analysis_id,xa49m06318z59ef
