analysis_id,1cf41vt8l388681
pvalue,0.8797386
mouse_life_stage,Early adult
parameter_id,IMPC_GEP_017_001
parameter_name,Facial Morphology
mouse_strain,C57BL
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
