analysis_id,565v15p0847y8et
mouse_strain,C57BL
gene_symbol,Eprs1
pvalue,0.3700863
parameter_name,Total cholesterol
gene_accession_id,MGI:97838
mouse_life_stage,E9.5
parameter_id,HMGULA_CBC_015_001
