analysis_id,3416uk1by1455li
parameter_name,Eye
gene_accession_id,MGI:1914515
parameter_id,M-G-P_013_001_001
gene_symbol,Slc39a10
pvalue,0.5906273
mouse_strain,C57BL
mouse_life_stage,E9.5
