analysis_id,1vp0nfgu208i64n
parameter_name,NK cells (Panel A) - % of live leukocytes (Panel A)
mouse_life_stage,Early adult
pvalue,0.6138816
parameter_id,IMPC_IMM_005_002
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_strain,129SV
