analysis_id,0l1v504m32w0ktb
pvalue,0.7573749
mouse_strain,C57BL
parameter_name,Creatinine
mouse_life_stage,Early adult
gene_accession_id,MGI:1336200
gene_symbol,Hpca
parameter_id,IMPC_CBC_005_001
