gene_symbol,Ints7
parameter_name,Coat - color - abdomen
mouse_life_stage,Early adult
parameter_id,IMPC_CSD_007_001
gene_accession_id,MGI:1924315
analysis_id,7tm23pf60606508
mouse_strain,C57BL
pvalue,1.033525e-05
