analysis_id,399ch40l3771l8j
parameter_id,IMPC_GEL_011_001
mouse_strain,C57BL
gene_accession_id,MGI:1934811
pvalue,0.1174391
mouse_life_stage,Late adult
parameter_name,Embryo turning
gene_symbol,Nucks1
